"Object","Title","URL","HasUniquePermissions","Users","Type","Permissions","GrantedThrough"
"Site Collection","News","https://postfallsidahoorg.sharepoint.com/sites/News","TRUE","Art Malin; News Owners; SharePoint PA","Site Collection Administrators","Site Owner","Direct Permissions"
"Site","News","https://postfallsidahoorg.sharepoint.com/sites/News","True","IT_Employees; News Owners","SharePointGroup","Full Control","SharePoint Group: News Owners"
"Site","News","https://postfallsidahoorg.sharepoint.com/sites/News","True","Everyone except external users; PD Users for Intranet","SharePointGroup","Read","SharePoint Group: News Visitors"
"Site","News","https://postfallsidahoorg.sharepoint.com/sites/News","True","News Members","SharePointGroup","Design; Edit","SharePoint Group: News Members"
"Site","News","https://postfallsidahoorg.sharepoint.com/sites/News","True","IT_Employees","SecurityGroup","Full Control","Direct Permissions"
"Site","News","https://postfallsidahoorg.sharepoint.com/sites/News","True","Doug Melven","SharePointGroup","Web-Only Limited Access","SharePoint Group: Limited Access System Group For Web 6906bea9-c78a-40d0-8c98-b5e93bbead37"
"GenericList","CCSAdvancedApprovalLog","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSAdvancedApprovalLog","False","IT_Employees; News Owners","SharePointGroup","Full Control","SharePoint Group: News Owners"
"GenericList","CCSAdvancedApprovalLog","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSAdvancedApprovalLog","False","Everyone except external users; PD Users for Intranet","SharePointGroup","Read","SharePoint Group: News Visitors"
"GenericList","CCSAdvancedApprovalLog","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSAdvancedApprovalLog","False","News Members","SharePointGroup","Design; Edit","SharePoint Group: News Members"
"GenericList","CCSAdvancedApprovalLog","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSAdvancedApprovalLog","False","IT_Employees","SecurityGroup","Full Control","Direct Permissions"
"GenericList","CCSAdvancedApprovalLog","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSAdvancedApprovalLog","False","Doug Melven","SharePointGroup","Web-Only Limited Access","SharePoint Group: Limited Access System Group For Web 6906bea9-c78a-40d0-8c98-b5e93bbead37"
"GenericList","CCSWFHistory_Common_ErrorLogs","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSWFHistory_Common_ErrorLogs","False","IT_Employees; News Owners","SharePointGroup","Full Control","SharePoint Group: News Owners"
"GenericList","CCSWFHistory_Common_ErrorLogs","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSWFHistory_Common_ErrorLogs","False","Everyone except external users; PD Users for Intranet","SharePointGroup","Read","SharePoint Group: News Visitors"
"GenericList","CCSWFHistory_Common_ErrorLogs","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSWFHistory_Common_ErrorLogs","False","News Members","SharePointGroup","Design; Edit","SharePoint Group: News Members"
"GenericList","CCSWFHistory_Common_ErrorLogs","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSWFHistory_Common_ErrorLogs","False","IT_Employees","SecurityGroup","Full Control","Direct Permissions"
"GenericList","CCSWFHistory_Common_ErrorLogs","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CCSWFHistory_Common_ErrorLogs","False","Doug Melven","SharePointGroup","Web-Only Limited Access","SharePoint Group: Limited Access System Group For Web 6906bea9-c78a-40d0-8c98-b5e93bbead37"
"GenericList","CrowCanyonAppsEmails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonAppsEmails","False","IT_Employees; News Owners","SharePointGroup","Full Control","SharePoint Group: News Owners"
"GenericList","CrowCanyonAppsEmails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonAppsEmails","False","Everyone except external users; PD Users for Intranet","SharePointGroup","Read","SharePoint Group: News Visitors"
"GenericList","CrowCanyonAppsEmails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonAppsEmails","False","News Members","SharePointGroup","Design; Edit","SharePoint Group: News Members"
"GenericList","CrowCanyonAppsEmails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonAppsEmails","False","IT_Employees","SecurityGroup","Full Control","Direct Permissions"
"GenericList","CrowCanyonAppsEmails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonAppsEmails","False","Doug Melven","SharePointGroup","Web-Only Limited Access","SharePoint Group: Limited Access System Group For Web 6906bea9-c78a-40d0-8c98-b5e93bbead37"
"GenericList","CrowCanyonMailTemplates","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonMailTemplates","False","IT_Employees; News Owners","SharePointGroup","Full Control","SharePoint Group: News Owners"
"GenericList","CrowCanyonMailTemplates","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonMailTemplates","False","Everyone except external users; PD Users for Intranet","SharePointGroup","Read","SharePoint Group: News Visitors"
"GenericList","CrowCanyonMailTemplates","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonMailTemplates","False","News Members","SharePointGroup","Design; Edit","SharePoint Group: News Members"
"GenericList","CrowCanyonMailTemplates","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonMailTemplates","False","IT_Employees","SecurityGroup","Full Control","Direct Permissions"
"GenericList","CrowCanyonMailTemplates","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/CrowCanyonMailTemplates","False","Doug Melven","SharePointGroup","Web-Only Limited Access","SharePoint Group: Limited Access System Group For Web 6906bea9-c78a-40d0-8c98-b5e93bbead37"
"DocumentLibrary","Documents","https://postfallsidahoorg.sharepoint.com/sites/News/Shared Documents","False","IT_Employees; News Owners","SharePointGroup","Full Control","SharePoint Group: News Owners"
"DocumentLibrary","Documents","https://postfallsidahoorg.sharepoint.com/sites/News/Shared Documents","False","Everyone except external users; PD Users for Intranet","SharePointGroup","Read","SharePoint Group: News Visitors"
"DocumentLibrary","Documents","https://postfallsidahoorg.sharepoint.com/sites/News/Shared Documents","False","News Members","SharePointGroup","Design; Edit","SharePoint Group: News Members"
"DocumentLibrary","Documents","https://postfallsidahoorg.sharepoint.com/sites/News/Shared Documents","False","IT_Employees","SecurityGroup","Full Control","Direct Permissions"
"DocumentLibrary","Documents","https://postfallsidahoorg.sharepoint.com/sites/News/Shared Documents","False","Doug Melven","SharePointGroup","Web-Only Limited Access","SharePoint Group: Limited Access System Group For Web 6906bea9-c78a-40d0-8c98-b5e93bbead37"
"GenericList","Send Mails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/Send Mails","False","IT_Employees; News Owners","SharePointGroup","Full Control","SharePoint Group: News Owners"
"GenericList","Send Mails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/Send Mails","False","Everyone except external users; PD Users for Intranet","SharePointGroup","Read","SharePoint Group: News Visitors"
"GenericList","Send Mails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/Send Mails","False","News Members","SharePointGroup","Design; Edit","SharePoint Group: News Members"
"GenericList","Send Mails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/Send Mails","False","IT_Employees","SecurityGroup","Full Control","Direct Permissions"
"GenericList","Send Mails","https://postfallsidahoorg.sharepoint.com/sites/News/Lists/Send Mails","False","Doug Melven","SharePointGroup","Web-Only Limited Access","SharePoint Group: Limited Access System Group For Web 6906bea9-c78a-40d0-8c98-b5e93bbead37"
