"Id","DirName","Title","Size","DeletedDate","ItemType","ItemState","DeletedByName"
"41e94726-1cb1-4068-91a1-625f968dacd8","sites/CityHallITDept/SiteAssets/CCS/Reports/Content","ZTllZmFjYWItODZjZi00YTE5LWJhZTYtMGNlOTYwOGZhZDk5.txt","5788","2/18/2024 12:51:46 AM","File","FirstStageRecycleBin","System Account"
"d477fa76-379d-48fd-9008-818a1af8eb38","sites/CityHallITDept/Lists","zTipsFromAccess REPLACED with TipsAmpersandTricks","1491755","11/21/2023 9:55:04 PM","List","FirstStageRecycleBin","Art Malin"
"1f45368b-2c19-4058-95a2-ce16b8db7d4d","sites/CityHallITDept/Lists","zSharePoint admin REPLACED with TipsAmpersandTricks","848279","11/21/2023 9:54:59 PM","List","FirstStageRecycleBin","Art Malin"
"deb58210-fe18-43ac-8005-bb8a0bc0e6a5","sites/CityHallITDept/Shared Documents/Documentation/Zoom","ZR_Starting-Meeting_Digital-Signage.pdf","166505","2/18/2024 12:51:00 AM","File","FirstStageRecycleBin","System Account"
"b41a1ce6-ea98-4588-9400-f25484287435","sites/CityHallITDept/Shared Documents/Documentation/Zoom","ZR_Starting-Meeting_Digital-Signage.jpg","100676","2/18/2024 12:51:27 AM","File","FirstStageRecycleBin","System Account"
"03c59a43-1a3a-49f5-ac72-13f219edce17","sites/CityHallITDept/Shared Documents/Documentation/Zoom","ZR_Quick-Start-Guide_Web.pdf","844461","2/18/2024 12:50:33 AM","File","FirstStageRecycleBin","System Account"
"a2c38aa1-6a7e-4509-8f7e-f56840ab57f3","sites/CityHallITDept/Shared Documents/Documentation/Zoom","ZR_Meeting-Controls_Digital-Signage.pdf","201522","2/18/2024 12:51:02 AM","File","FirstStageRecycleBin","System Account"
"d37166b8-0445-49df-948a-32c8a17e1339","sites/CityHallITDept/Shared Documents/Documentation/Zoom","ZR_Meeting-Controls_Digital-Signage.jpg","143820","2/18/2024 12:51:39 AM","File","FirstStageRecycleBin","System Account"
"1faf54da-c330-411c-aa27-94c083d12ef9","sites/CityHallITDept/Lists","zPowerAutomate REPLACED with TipsAmpersandTricks","1501893","11/21/2023 9:54:54 PM","List","FirstStageRecycleBin","Art Malin"
"fa1208ac-4742-4de6-93d7-83c7747f3f29","sites/CityHallITDept/SiteAssets/CCS/Reports/Content","ZmQ3OWFiYjgtYThhYS00OTQwLTgwNDItYmY2YzM4NTg0OTkx.txt","5795","2/18/2024 12:51:01 AM","File","FirstStageRecycleBin","System Account"
"b850f119-a53f-4df1-917c-fc34891b7ec9","sites/CityHallITDept/SiteAssets/CCS/Reports/Content","ZGY5NjFlOGItMWVmYi00ODI0LTlkYjEtYmY1Njk3ZGFhMTJk.txt","5786","2/18/2024 12:51:18 AM","File","FirstStageRecycleBin","System Account"
"47b83d12-d318-45b8-8fc2-90ecca1b9717","sites/CityHallITDept/SiteAssets/CCS/Reports/Content","ZGI3ZmYyYjctYTRiMi00NDUyLTg1MWQtNDFhZTBjNGI2ZWRi.txt","5789","2/18/2024 12:51:18 AM","File","FirstStageRecycleBin","System Account"
"4f24326b-498a-471c-b762-cf83c278f42f","sites/CityHallITDept/Lists","z OLD Tips/Tricks REPLACED with Tips & Tricks","3568468","11/21/2023 9:54:49 PM","List","FirstStageRecycleBin","Art Malin"
"4300478f-556f-4165-87cb-f12daba6b930","sites/CityHallITDept/SiteAssets/CCS/Reports/Content","Yzc4MTFjOTMtZjhhZC00MGY5LWE4MDUtM2JjZTEzZTkzMjBi.txt","5780","2/18/2024 12:51:30 AM","File","FirstStageRecycleBin","System Account"
"f8d9dfae-222b-4a6b-89e9-4e8ba2a14b0c","sites/CityHallITDept/Shared Documents/All thing phones","XO LOA for Phone move.pdf","779030","2/18/2024 12:50:52 AM","File","FirstStageRecycleBin","System Account"
"6d64c8b0-0486-4a75-94b5-453488b63826","sites/CityHallITDept/Shared Documents/All thing phones","XO Contract renewal for Internet increase.pdf","1295891","2/18/2024 12:51:08 AM","File","FirstStageRecycleBin","System Account"
"7d341184-8003-4b04-b4d4-84fbff7f0d15","sites/CityHallITDept/Shared Documents/All thing phones","XO contract memo for 4-19-05 council mtg.doc","55014","2/18/2024 12:51:25 AM","File","FirstStageRecycleBin","System Account"
"46cf87e0-be8a-4062-bdc0-03b6c5838768","sites/CityHallITDept/Shared Documents/All thing phones","XO Account information.pdf","33637","2/18/2024 12:51:32 AM","File","FirstStageRecycleBin","System Account"
"98bb15b2-9625-432a-8455-cb8c0d8ab387","sites/CityHallITDept/Shared Documents/Documentation/Nitro Studio","Xfer_Fields_Notes.xlsx","222611","2/18/2024 12:51:06 AM","File","FirstStageRecycleBin","System Account"
"88e5f802-2235-484e-9af7-1493aa054c70","sites/CityHallITDept","xCheat Sheets REPLACED with TipsAmpersandTricks","70554","11/21/2023 9:54:43 PM","List","FirstStageRecycleBin","Art Malin"
"f2647e55-ddd3-41f0-92c6-9926865bd894","sites/CityHallITDept/Shared Documents/Facilities/Water-WaterRec/Water","WTR AP-GATE.cfg","4609","2/18/2024 12:51:35 AM","File","FirstStageRecycleBin","System Account"
"8ebe7593-b821-41b9-b1c5-b127c87b153a","sites/CityHallITDept/Shared Documents/Facilities/Water-WaterRec/Water","WTR AP-BLDG.cfg","5060","2/18/2024 12:51:22 AM","File","FirstStageRecycleBin","System Account"
"78ca2792-d8c4-4f1d-85e6-e25915540680","sites/CityHallITDept/Shared Documents/Documentation/Network/Configuration backups","Wrfconf-ap.cfg","60711","2/18/2024 12:51:05 AM","File","FirstStageRecycleBin","System Account"
"ea884f25-9d98-4610-a4f5-c30bff8a94f5","sites/CityHallITDept/Shared Documents/Liftstation information/Sierra devices","WRF New Network.xlsx","2102949","2/18/2024 12:51:16 AM","File","FirstStageRecycleBin","System Account"
"3eb049ac-a3cf-4160-bcf3-29a69cbb4af7","sites/CityHallITDept/Shared Documents/Facilities/Water-WaterRec/WRF","WRF New Network.xlsx","1636545","2/18/2024 12:51:29 AM","File","FirstStageRecycleBin","System Account"
"6869cb7a-042d-4268-8736-ff7e3c59ad2c","sites/CityHallITDept/Shared Documents/Documentation/Security","WRF Cameras.pdf","760605","2/18/2024 12:51:24 AM","File","FirstStageRecycleBin","System Account"
"dce9f373-f165-4505-a680-b8e3bc451535","sites/CityHallITDept/SiteAssets/CCS/DynData/Content","WPS_YzRiMjBiYTItNDM1Yy00OTBjLWExMjQtZTg1NTUyOWNkNTQ5.txt","3499","2/18/2024 12:50:42 AM","File","FirstStageRecycleBin","System Account"
"f87fa18c-8174-467b-994a-28792bd12239","sites/CityHallITDept/SiteAssets/CCS/ListView/Content","WPS_Nzg2MzQwYWQtNDA5ZS00NmIzLTkwZWEtMWE2MjE1NjMxN2Nm.txt","4008","2/18/2024 12:50:38 AM","File","FirstStageRecycleBin","System Account"
"779b232e-6152-4a0e-8756-034a23943363","sites/CityHallITDept/SiteAssets/CCS/DynData/Content","WPS_NWRlNzg5NGItY2M1My00NzBhLWJiNjktMjk2MmRlNWY4Zjg5.txt","3505","2/18/2024 12:51:36 AM","File","FirstStageRecycleBin","System Account"
"15d7f9b2-22a4-4a7b-8f1a-7918e403781d","sites/CityHallITDept/SiteAssets/CCS/ListView/Content","WPS_NWMzZWUwOWQtN2ZmYS00NzhlLTkwYzYtYWU3OTUxMzU2YWU2.txt","4014","2/18/2024 12:50:31 AM","File","FirstStageRecycleBin","System Account"
"b7267f37-e685-4e57-8caf-f544ee37281a","sites/CityHallITDept/SiteAssets/CCS/ListSearch","WPS_b5b8e8da-2005-4445-a870-36fd90c8fb6e.xml","1550","2/18/2024 12:51:15 AM","File","FirstStageRecycleBin","System Account"
"21243dd9-af23-41a8-a04e-2a0042691298","sites/CityHallITDept/SiteAssets/CCS/ListSearch/Content","WPS_b5b8e8da-2005-4445-a870-36fd90c8fb6e.txt","3220","2/18/2024 12:51:36 AM","File","FirstStageRecycleBin","System Account"
