"Id","DirName","Title","Size","DeletedDate","ItemType","ItemState","DeletedByName"
"afdf0b5a-8e08-4ce9-87e3-5ae2df907b3b","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/DOBSON ACRES (ID 181967)","ZONING MAP.pdf","1651461","12/6/2023 6:58:41 PM","File","FirstStageRecycleBin","Anna Staal"
"c9eec5ef-efd3-4e40-8980-b69906244130","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/EXPO MULTI-FAMILY PUD (ID 138008)","ZONING Layout1 (1).pdf","230895","12/6/2023 6:47:59 PM","File","FirstStageRecycleBin","Anna Staal"
"75ba79b8-e4ed-438b-b76a-27474efc776a","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/EXPO MULTI-FAMILY PUD (ID 138008)","Zoning - Expo Vicinity.pdf","192016","12/6/2023 6:48:11 PM","File","FirstStageRecycleBin","Anna Staal"
"eb2fe9c0-0cc3-4fa4-b0de-53ebe17d6827","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/APALOOSA MEADOWS (ID 138006)","Zahran Development.GWI","4661","12/6/2023 6:40:27 PM","File","FirstStageRecycleBin","Anna Staal"
"c7255034-d9a7-47f8-9f31-cfc613dcff09","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/Spencer Place Phase A PAR-0082-2021 (ID 198028)","Written Narrative.pdf","820649","12/6/2023 6:54:59 PM","File","FirstStageRecycleBin","Anna Staal"
"00290088-c1ae-488b-9843-41b7846a8476","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","Wrenley Estates Pre-App Subd PAR-0011-2020 (ID 195717)","1034","12/6/2023 7:00:13 PM","Folder","FirstStageRecycleBin","Anna Staal"
"19149491-1cd1-45c6-9a71-534afa60b04f","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","Woodhaven Holdings PAR-0120-2021 (ID 198527)","1010","12/6/2023 7:00:10 PM","Folder","FirstStageRecycleBin","Anna Staal"
"8179fbb8-1dcf-49ef-858f-48da421ab805","sites/CommunityDevelopment/Shared Documents/Special Use Permit/2024/NAME SUP-24-1/Applicant Submittals","Will Serve_Ross Water District.pdf","1210769","1/10/2024 7:23:00 PM","File","FirstStageRecycleBin","Anna Staal"
"9a0acc53-1c0f-491a-85d2-328f7f3bfe15","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","Wilhelm Twinhomes PAR-0018-2021 (ID 197143)","1003","12/6/2023 6:59:55 PM","Folder","FirstStageRecycleBin","Anna Staal"
"9a7bead7-1d5b-4a72-a4dd-1201bf29574c","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","Wilhelm SUBD Pre-APP PAR-89&90-2021 (ID 198099)","1016","12/6/2023 6:59:26 PM","Folder","FirstStageRecycleBin","Anna Staal"
"9fe74baa-8b47-4d32-b93e-1ce2ba62e961","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","Wilhelm Project PAR-49-2019 (ID 192410)","1005","12/6/2023 6:59:32 PM","Folder","FirstStageRecycleBin","Anna Staal"
"a9af0c7d-2997-471b-815d-4eb1d43f4781","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","Wildflower Meadows SUBD Pre-App PAR-0054-2021 (ID 197700)","1042","12/6/2023 7:01:39 PM","Folder","FirstStageRecycleBin","Anna Staal"
"a607ea4c-5e76-460b-ab5c-61ad7c46b16a","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","WILDER PUD - WAHL PROPERTY (ID 138016)","1001","12/6/2023 7:00:06 PM","Folder","FirstStageRecycleBin","Anna Staal"
"2b877ca4-0f8d-4e52-8675-7e6b200c2f3c","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/2022/Foxtail 7th Addition/205 ENG Construction for FOXTAIL 7TH ADDITION (ID 198472)","Warranty Letter - Foxtail 8th.doc","138033","12/26/2023 6:13:14 PM","File","FirstStageRecycleBin","Jennifer Poindexter"
"2deb0339-d03c-498b-ae94-cfba5fdfee7f","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/WAHL SUB (ID 138015)","Wahl Sub Pre Appl Material.pdf","459370","12/6/2023 6:42:25 PM","File","FirstStageRecycleBin","Anna Staal"
"ae94c15d-9d31-447c-90e0-4b8bd2eb055a","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","WAHL SUB (ID 138015)","962","12/6/2023 7:01:42 PM","Folder","FirstStageRecycleBin","Anna Staal"
"dd45ab56-af03-4516-838a-403e4a542db9","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/WAHL SUB (ID 138015)","Wahl SUB - Notice to Proceed.pdf","352188","12/6/2023 6:42:15 PM","File","FirstStageRecycleBin","Anna Staal"
"c8edafcc-698f-4670-b510-5c690e9141c6","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/WAHL SUB (ID 138015)","Wahl SUB - Notice to Proceed.doc","116132","12/6/2023 7:00:58 PM","File","FirstStageRecycleBin","Anna Staal"
"77df27ad-0414-49e7-a66a-6fa4fe1c69e9","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/WAHL SUB (ID 138015)","Wahl SUB - layout revisions etc.pdf","871968","12/6/2023 6:42:18 PM","File","FirstStageRecycleBin","Anna Staal"
"1a8c2e8a-3390-467c-93c0-9efd03b6c151","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/WAHL SUB (ID 138015)","Wahl Site.pdf","61162","12/6/2023 6:42:28 PM","File","FirstStageRecycleBin","Anna Staal"
"338423f2-7a23-4361-a56f-313736fb8e21","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/WAHL SUB (ID 138015)","Wahl Property.pdf","170469","12/6/2023 6:42:38 PM","File","FirstStageRecycleBin","Anna Staal"
"c7ba3855-20cc-480a-b71b-8618a6df6ac7","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","VIKING (ID 168430)","963","12/6/2023 6:59:55 PM","Folder","FirstStageRecycleBin","Anna Staal"
"6f9e3f4c-ce66-416d-a3da-18059289e79d","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/DOBSON ACRES (ID 181967)","VICINITY.pdf","721521","12/6/2023 6:58:54 PM","File","FirstStageRecycleBin","Anna Staal"
"7463d938-d28f-4751-b098-69e8d2ae4980","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/Lassan SUBD Pre-App PAR-0027-2021 (ID 197353)","Vicinity Map-Lassan.pdf","786727","12/6/2023 6:38:40 PM","File","FirstStageRecycleBin","Anna Staal"
"afe29e42-29e5-4b87-a22f-ee60ecc4cb85","sites/CommunityDevelopment/Shared Documents/Annexation/2010-2019 Archive/2019/ANNX-0003-2019 Landmark Place/102 PLAN Applicant Submittals for LANDMARK PLACE ANNEXATION ANNX-0003-2019 (ID 191925)","V.2 REVISED ANNEXATION LEGALS AND EXHIBITS.pdf","5553488","12/12/2023 10:28:47 PM","File","FirstStageRecycleBin","Jon Manley"
"a1b39772-b1bc-416f-b18e-8e24059db725","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","TURTLE COVE SUB (ID 138014)","980","12/6/2023 6:59:01 PM","Folder","FirstStageRecycleBin","Anna Staal"
"fd98b395-8a02-4c8d-b98b-7218debd1545","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)/TURTLE COVE SUB (ID 138014)","Turtle Cove pre-application.pdf","2108250","12/6/2023 6:58:18 PM","File","FirstStageRecycleBin","Anna Staal"
"99c469d3-7ca8-4d1f-a7e3-772c6b60ac20","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","Tullamore Vista Pre-App PAR-0003-2021 (ID 197005)","1019","12/6/2023 6:59:12 PM","Folder","FirstStageRecycleBin","Anna Staal"
"c2284a29-fdcc-4eb2-b00e-d1bc8c9d44e9","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","TULLAMORE CROSSING MINOR SUBDIVISION (ID 180520)","1024","12/6/2023 7:00:08 PM","Folder","FirstStageRecycleBin","Anna Staal"
"28ce4c38-75e7-496b-9932-15c986cdd717","sites/CommunityDevelopment/Shared Documents/Subdivision - Preliminary Plat/Pre-Applications (Archived)","TULLAMORE CROSSING II MINOR SUBDIVISION (ID 180519)","1029","12/6/2023 7:00:08 PM","Folder","FirstStageRecycleBin","Anna Staal"
